age,bmi,gender_num,activity_num,fitness_num,stress_num,meal_type_num,calorie_gap,protein_gap,calorie_ratio,is_vegetarian,is_vegan,is_diabetic,is_gluten_free,meals_per_day,sleep_quality,meal_calories,meal_protein,meal_carbs,meal_fat,meal_fiber,within_meal_class_band,accepted,goal_lose_weight,goal_gain_muscle,goal_maintain,goal_improve_health,goal_athletic_performance
56,29.0,1,1,2,3,1,2352.7,43.0,0.029,0,0,0,0,3,1,69.2,1.4,14.1,0.8,0.6,1,1,0,0,0,1,0
67,15.8,1,2,1,2,1,1388.2,64.9,0.06,0,0,0,0,4,1,88.0,6.7,10.9,2.0,1.1,1,1,0,0,0,1,0
56,31.9,0,1,1,2,2,2463.3,16.2,0.164,0,0,0,0,2,0,483.0,22.5,67.1,13.9,1.2,1,1,1,0,0,0,0
26,30.0,1,5,2,2,1,1665.9,92.6,0.04,0,0,0,0,3,0,69.3,2.5,12.8,0.9,0.2,1,1,0,0,1,0,0
57,22.1,0,3,2,3,4,1388.6,81.9,0.301,1,0,0,0,3,1,599.1,13.7,110.1,11.5,6.0,1,1,0,1,0,0,0
45,29.1,0,1,2,3,3,2659.1,63.9,0.037,0,0,0,0,4,0,101.2,3.5,19.5,1.0,0.0,1,1,0,1,0,0,0
56,23.0,0,1,1,1,1,2236.3,74.9,0.083,1,0,0,0,3,0,201.7,4.2,39.1,3.2,3.0,1,1,0,0,0,0,1
64,34.0,1,3,1,3,2,2450.6,57.3,0.2,1,0,0,0,2,1,614.3,39.5,79.1,15.6,3.2,1,1,0,1,0,0,0
53,13.3,1,3,1,1,3,1351.8,91.6,0.058,0,0,0,0,3,1,82.8,5.2,13.4,1.0,0.2,1,1,1,0,0,0,0
22,27.5,0,4,1,3,1,1906.6,28.3,0.077,1,0,0,0,3,0,158.4,12.2,22.9,2.0,0.5,1,1,0,0,1,0,0
70,55.1,1,4,3,4,2,1553.7,-29.7,0.25,1,0,0,0,4,0,518.5,40.1,53.8,15.9,1.3,1,1,0,0,0,1,0
47,24.1,1,1,2,1,1,2204.1,-19.6,0.085,1,0,0,0,2,0,205.8,15.7,31.1,2.0,3.0,1,1,0,1,0,0,0
52,14.3,1,1,2,2,3,1519.2,9.0,0.1,1,0,1,0,4,0,168.9,5.1,30.8,2.8,1.7,1,1,0,1,0,0,0
20,17.4,1,2,1,2,4,2379.0,-29.0,0.175,0,0,0,0,3,1,505.1,29.5,59.3,16.7,5.0,1,1,1,0,0,0,0
22,35.1,1,3,1,2,4,1206.5,-24.3,0.321,1,1,0,0,3,1,570.6,9.3,103.6,13.2,6.6,1,1,1,0,0,0,0
43,51.0,1,3,1,1,2,1752.0,-24.8,0.172,1,0,0,0,4,0,364.6,14.5,50.8,11.5,5.3,1,1,0,1,0,0,0
42,16.1,1,1,2,1,2,2233.2,75.4,0.173,1,0,1,0,3,1,466.3,38.4,49.0,13.0,6.0,1,1,0,1,0,0,0
68,40.0,0,4,1,3,3,2728.2,97.5,0.073,0,0,0,0,3,1,214.0,7.2,35.1,5.0,1.3,1,1,0,1,0,0,0
32,33.0,1,3,1,2,4,2668.2,74.8,0.113,0,0,0,0,3,1,340.8,5.4,66.3,6.0,2.7,1,1,0,1,0,0,0
20,30.0,0,1,3,2,3,1971.3,58.1,0.045,0,0,0,0,4,0,93.2,2.1,17.6,1.6,1.3,1,1,0,0,1,0,0
35,42.5,0,3,1,2,4,2221.0,56.3,0.209,0,0,1,0,3,0,587.1,39.7,75.5,14.0,2.3,1,1,0,0,1,0,0
30,18.8,1,5,2,3,2,2180.5,86.0,0.182,0,0,0,0,3,1,484.4,20.6,90.0,4.7,5.0,1,1,0,1,0,0,0
60,27.5,0,4,1,3,3,2904.6,78.0,0.065,0,0,0,0,3,1,200.5,11.7,26.9,5.1,1.5,1,1,0,0,1,0,0
64,17.8,1,4,1,2,3,1645.1,19.8,0.058,1,0,0,0,3,1,100.5,8.0,15.4,0.8,0.2,1,1,0,1,0,0,0
29,37.6,0,5,1,3,4,918.6,24.5,0.299,0,0,0,0,3,1,392.6,27.1,45.2,11.5,5.6,1,1,0,0,1,0,0
33,24.8,0,3,2,3,2,2626.4,-19.1,0.17,1,0,0,0,3,1,536.9,43.2,64.4,11.8,5.3,1,1,0,0,0,1,0
36,21.0,0,4,2,2,1,2648.0,94.4,0.028,1,1,0,0,4,1,75.1,6.3,10.5,0.9,0.1,1,0,1,0,0,0,0
24,26.7,0,1,2,3,1,2670.3,44.9,0.039,0,0,0,0,3,1,107.5,3.9,17.8,2.3,1.5,1,1,1,0,0,0,0
60,45.2,1,4,2,1,1,1775.5,80.4,0.094,0,0,1,0,3,0,184.2,7.4,30.5,3.6,0.9,1,1,0,0,0,0,1
43,35.5,1,2,2,2,4,2399.3,6.3,0.164,0,0,0,0,3,1,469.6,17.2,87.1,5.8,6.6,1,1,0,1,0,0,0
47,24.0,0,4,1,3,3,2223.0,42.2,0.056,1,0,0,0,2,1,133.0,3.6,26.0,1.6,0.8,1,0,0,0,1,0,0
30,20.0,0,3,1,2,3,1846.8,11.0,0.062,0,0,0,0,3,1,121.7,4.3,22.8,1.5,1.3,1,1,0,1,0,0,0
46,36.0,0,3,1,1,2,1529.9,-22.9,0.23,1,0,0,0,2,0,455.8,29.9,74.7,4.1,0.3,1,1,1,0,0,0,0
52,26.5,0,1,1,4,1,1979.9,43.2,0.04,1,0,1,0,4,1,81.5,4.9,14.2,0.6,0.2,1,0,0,1,0,0,0
55,20.9,1,5,1,2,1,2183.7,55.9,0.112,1,0,1,1,3,0,274.6,23.0,38.7,3.1,0.9,1,1,0,1,0,0,0
46,29.3,0,2,3,1,3,2644.4,40.8,0.055,0,0,0,0,2,1,152.5,9.5,17.9,4.8,1.0,1,1,1,0,0,0,0
66,34.7,0,5,1,2,4,2650.9,26.2,0.142,1,0,1,0,4,1,440.2,21.8,80.5,3.4,0.3,1,1,0,1,0,0,0
17,33.4,0,1,2,2,4,2068.7,57.1,0.175,0,0,0,0,3,0,437.4,8.5,85.9,6.7,2.2,1,1,1,0,0,0,0
41,23.2,1,2,3,2,1,2332.2,68.3,0.085,0,0,0,0,4,1,217.4,9.5,39.6,2.3,1.2,1,1,0,1,0,0,0
34,22.0,0,1,2,3,3,2207.2,30.0,0.059,1,0,0,0,4,0,139.4,2.7,21.7,4.6,1.9,1,1,0,0,1,0,0
42,15.8,0,3,1,4,2,2495.0,36.0,0.152,0,0,0,0,4,1,446.7,32.0,62.5,7.6,6.3,1,1,0,1,0,0,0
58,21.4,0,2,1,3,3,2735.7,23.4,0.073,1,0,0,0,3,1,216.5,6.6,39.7,3.5,2.8,1,1,0,1,0,0,0
18,30.1,1,4,3,2,4,1003.0,71.6,0.245,1,0,0,0,3,0,326.1,25.4,32.3,10.6,0.4,1,1,0,1,0,0,0
70,24.3,0,4,1,2,2,1826.9,-17.2,0.269,0,0,0,0,3,0,672.3,58.7,69.6,17.7,3.5,1,1,0,0,1,0,0
18,18.6,0,2,1,2,2,1245.3,88.7,0.233,1,0,0,0,2,0,377.6,29.4,45.7,8.6,1.4,1,1,0,0,1,0,0
45,16.5,0,2,1,2,4,2185.4,-16.1,0.163,1,0,0,0,2,0,426.2,15.0,59.6,14.2,5.5,1,1,0,0,1,0,0
58,33.8,0,3,2,1,4,2313.5,-1.5,0.197,1,0,0,0,3,0,568.9,40.2,86.7,6.8,6.4,1,1,0,0,1,0,0
56,29.2,1,3,2,1,4,1311.4,88.8,0.197,0,0,0,0,3,0,322.3,17.1,39.9,10.5,2.6,1,1,1,0,0,0,0
34,22.6,0,1,2,2,4,2600.3,39.8,0.171,0,0,0,0,4,1,537.5,21.5,79.6,14.8,0.1,1,1,0,0,1,0,0
56,25.9,0,1,3,2,2,1958.1,-14.8,0.226,1,1,0,0,3,0,572.4,27.1,83.8,14.3,5.2,1,1,0,0,0,0,1
24,33.3,0,3,3,2,2,2403.1,6.4,0.194,0,0,0,0,3,0,579.2,43.5,71.8,13.1,7.5,1,1,0,0,1,0,0
22,39.9,0,2,1,1,4,1126.3,13.4,0.236,0,0,0,0,4,1,347.9,21.0,40.5,11.3,0.3,1,1,1,0,0,0,0
29,19.9,1,5,1,3,2,1696.9,16.6,0.271,0,0,0,1,3,1,629.5,13.1,102.4,18.6,1.1,1,1,1,0,0,0,0
63,34.0,0,2,2,2,2,2731.1,29.5,0.118,0,0,1,0,3,1,365.2,26.0,40.9,10.8,2.9,1,1,1,0,0,0,0
22,23.1,0,4,1,1,3,1876.2,73.1,0.073,1,0,0,0,3,1,147.5,5.1,25.3,2.9,1.0,1,1,1,0,0,0,0
30,29.1,0,2,1,2,3,2948.2,26.1,0.053,0,0,0,0,2,1,163.6,7.9,30.1,1.3,0.2,1,1,0,0,1,0,0
51,22.9,0,4,3,2,1,2905.8,55.4,0.075,1,1,0,0,3,1,234.1,9.1,38.0,5.1,0.7,1,1,0,0,0,0,1
67,33.6,0,4,2,2,3,1265.8,-6.4,0.066,1,0,1,0,2,1,89.2,6.2,9.8,2.8,0.5,1,1,1,0,0,0,0
49,28.4,1,1,1,2,1,2873.2,27.6,0.035,1,0,0,0,4,1,105.1,7.3,17.4,0.7,0.1,1,1,0,0,0,0,1
43,37.2,1,2,2,1,1,1167.2,12.7,0.112,1,0,0,0,3,1,147.4,4.2,29.6,1.4,0.6,1,1,0,1,0,0,0
69,49.3,0,1,1,4,4,1882.4,12.2,0.212,0,0,0,0,3,1,507.0,22.2,94.6,4.4,0.2,1,1,0,0,0,1,0
70,35.3,1,3,1,2,3,2726.6,70.9,0.019,1,0,0,0,2,1,53.7,3.2,7.8,1.1,0.2,1,0,0,1,0,0,0
28,32.9,1,3,1,3,4,2031.9,96.2,0.217,1,0,0,0,3,1,562.3,34.1,64.7,18.5,2.6,1,1,0,1,0,0,0
38,29.6,1,1,2,1,1,2261.5,86.5,0.084,1,0,0,0,3,1,207.0,9.8,32.2,4.3,2.5,1,1,0,0,0,1,0
19,49.6,0,2,2,2,2,1947.6,89.3,0.264,1,0,0,1,3,1,696.8,36.1,102.8,15.7,2.9,1,1,1,0,0,0,0
22,38.6,0,3,3,3,2,2583.2,62.1,0.151,1,0,0,0,3,0,458.6,28.3,61.6,11.0,0.9,1,1,0,1,0,0,0
69,23.5,1,2,1,1,4,1064.8,36.0,0.36,0,0,0,0,3,0,600.0,14.5,116.9,8.3,6.3,1,1,1,0,0,0,0
55,17.1,1,1,2,2,4,986.4,67.8,0.287,0,0,0,0,3,0,396.6,26.4,43.8,12.9,3.6,1,1,0,0,0,0,1
28,26.8,0,2,2,3,4,2594.5,53.4,0.173,0,0,0,0,4,0,541.4,39.3,84.6,5.1,2.0,1,1,0,1,0,0,0
34,18.4,1,5,1,2,2,2192.1,18.6,0.231,1,1,0,0,2,0,659.6,54.3,85.3,11.3,3.2,1,1,0,0,0,0,1
57,15.0,0,2,2,3,4,1870.7,41.3,0.131,0,0,0,0,3,1,281.7,5.2,57.2,3.6,3.5,1,1,1,0,0,0,0
23,37.0,1,3,1,3,1,2274.0,15.9,0.091,0,0,0,0,4,0,226.8,15.1,34.7,3.1,0.0,1,1,0,1,0,0,0
20,28.7,1,3,3,2,1,1682.6,13.2,0.139,1,0,0,0,3,0,272.6,16.2,35.3,7.4,3.0,1,1,1,0,0,0,0
46,13.1,1,4,1,2,2,2522.5,31.5,0.154,1,0,0,0,2,0,460.5,16.5,81.4,7.7,5.6,1,1,1,0,0,0,0
37,30.4,0,4,2,3,2,1718.7,64.5,0.234,1,0,0,0,3,1,524.1,42.9,64.6,10.5,6.3,1,1,0,1,0,0,0
36,34.3,0,2,2,2,3,2349.9,57.3,0.048,1,0,0,0,2,1,118.3,7.2,15.1,3.3,0.1,1,1,1,0,0,0,0
54,21.1,0,4,1,2,2,1908.1,38.8,0.263,1,0,0,0,3,1,682.1,27.6,101.9,18.2,4.6,1,1,0,0,1,0,0
40,24.3,1,2,3,2,4,1356.9,99.6,0.192,0,0,0,0,3,0,323.4,5.8,67.5,3.3,3.5,1,1,0,0,0,0,1
51,30.1,0,3,3,2,2,1110.2,42.0,0.275,1,0,0,0,2,1,420.3,9.6,69.4,11.6,0.2,1,1,0,0,0,1,0
41,34.6,0,4,1,4,4,1739.5,46.4,0.204,0,0,0,0,2,0,445.6,9.9,72.9,12.7,3.7,1,0,0,0,1,0,0
49,20.6,1,5,1,4,3,2822.2,9.4,0.029,0,0,0,0,4,1,85.1,5.1,12.2,1.8,0.2,1,1,0,1,0,0,0
58,24.3,0,4,1,1,3,2359.1,51.5,0.07,1,0,0,0,3,1,178.1,7.8,27.4,4.1,1.3,1,1,0,0,1,0,0
20,31.3,1,2,1,1,3,2500.0,43.0,0.072,1,0,0,0,2,1,194.9,16.7,28.0,1.8,1.1,1,1,0,0,0,1,0
40,44.1,0,1,1,2,2,1716.6,92.9,0.236,0,0,0,0,3,1,530.2,26.5,89.2,7.5,0.2,1,1,0,1,0,0,0
34,35.1,0,3,1,1,2,2372.0,44.1,0.203,1,0,1,0,4,1,604.6,42.2,87.6,9.5,3.2,1,1,1,0,0,0,0
55,20.8,1,2,3,2,2,1150.0,13.3,0.315,0,0,0,0,4,1,528.2,26.4,97.5,3.6,1.1,1,1,0,1,0,0,0
55,50.9,0,3,1,2,4,2270.7,97.4,0.142,0,0,0,0,2,1,375.9,27.7,52.9,5.9,3.8,1,1,0,0,0,1,0
32,26.4,1,1,2,2,2,2426.4,27.3,0.152,1,0,0,0,4,0,434.8,24.1,60.1,10.9,1.2,1,1,0,0,0,1,0
70,25.1,1,3,3,2,2,1636.8,58.5,0.247,0,0,0,0,3,1,536.6,28.7,76.1,13.1,6.9,1,1,0,1,0,0,0
35,32.1,1,4,2,3,4,1383.9,58.0,0.295,1,0,0,0,3,1,578.8,41.8,85.8,7.6,1.0,1,1,0,1,0,0,0
34,28.6,1,2,1,2,3,1410.0,39.0,0.097,0,0,1,0,3,1,150.8,8.5,25.0,1.9,1.5,1,1,0,1,0,0,0
65,39.8,1,5,1,4,4,2014.1,69.9,0.206,0,0,0,0,2,0,521.9,17.8,96.9,7.0,0.5,1,1,0,0,0,1,0
27,15.1,0,5,3,2,3,2924.1,7.0,0.014,0,0,0,0,3,0,41.7,2.3,7.3,0.4,0.6,1,1,0,1,0,0,0
45,20.5,0,1,1,2,3,2660.3,86.6,0.051,0,0,0,0,2,1,142.2,9.9,22.4,1.5,1.8,1,1,1,0,0,0,0
24,23.0,0,2,1,3,3,2263.6,56.8,0.059,0,0,0,0,3,0,143.1,4.6,26.2,2.2,0.5,1,1,0,0,0,0,1
56,21.6,0,5,1,2,3,1951.2,-1.6,0.066,1,0,0,0,3,1,138.9,6.6,21.7,2.8,1.4,1,1,0,0,0,0,1
39,13.4,1,4,3,2,2,1391.3,-18.2,0.277,0,0,0,0,4,1,532.1,11.3,108.3,6.0,4.7,1,1,0,1,0,0,0
52,31.4,1,2,1,2,2,2032.9,91.5,0.153,1,0,1,0,3,0,365.9,14.0,71.4,2.7,5.5,1,1,1,0,0,0,0
62,41.5,0,2,3,2,2,2070.0,64.6,0.186,1,1,1,0,4,1,471.7,12.2,84.0,9.7,3.7,1,1,1,0,0,0,0
40,27.3,1,2,3,3,4,1888.8,47.2,0.235,1,0,0,0,2,1,579.6,45.9,83.0,7.1,0.5,1,1,1,0,0,0,0
30,30.6,1,1,3,2,3,2218.1,98.1,0.075,0,0,0,0,4,0,179.1,13.2,26.6,2.2,2.4,1,1,0,0,0,0,1
63,23.9,1,2,3,4,3,2509.5,1.3,0.043,1,0,0,0,2,1,113.5,4.0,21.7,1.2,0.9,1,0,0,0,1,0,0
42,22.3,1,2,1,2,2,915.9,74.6,0.345,0,0,0,0,3,0,482.0,27.9,85.4,3.2,0.5,1,1,0,1,0,0,0
37,11.1,0,5,3,1,4,2534.8,11.8,0.165,1,0,0,0,3,1,502.6,32.8,74.1,8.3,1.8,1,1,0,0,0,0,1
47,52.7,0,2,2,4,4,830.4,45.9,0.401,0,0,0,0,3,1,556.5,37.9,93.7,3.3,4.4,1,1,0,1,0,0,0
69,32.0,1,3,1,3,4,1661.1,-6.1,0.236,0,0,0,0,4,1,514.5,20.0,97.7,4.9,4.2,1,1,0,0,0,0,1
